,id,dp1,dp2,dp3,dp4,dp5,dp6,dp7,dp8,dp9,dp10,dp11,dp12,dp13,dp14,dp15,dp16,dp17,dp18,dp19,dp20,dp21,dp22,dp23,dp24,dp25,counter,date,takes
326,53,31653,31693,31693,31645,31555,31430,31280,31113,30948,30802,30691,30627,30615,30648,30713,30789,30861,30920,30967,30999,31014,31012,31003,30995,30999,2672,2022-03-06-23-56-48.166045,A1
327,53,31022,31071,31145,31232,31321,31421,31558,31754,32012,32310,32609,32856,33015,33075,33050,32964,32841,32695,32540,32389,32256,32149,32064,31993,31931,2673,2022-03-06-23-56-48.436698,A1
328,53,31879,31845,31843,31886,31974,32092,32209,32299,32344,32340,32290,32204,32102,32008,31935,31890,31871,31864,31844,31792,31708,31603,31499,31423,31386,2674,2022-03-06-23-56-48.842834,A1
329,53,31394,31447,31542,31674,31832,31999,32150,32258,32308,32302,32253,32183,32106,32033,31995,32030,32176,32455,32854,33317,33767,34131,34376,34501,34528,2675,2022-03-06-23-56-49.112773,A1
330,53,34490,34418,34332,34251,34187,34145,34127,34126,34121,34096,34042,33964,33875,33795,33738,33711,33713,33735,33775,33832,33903,33976,34032,34057,34050,2676,2022-03-06-23-56-49.473423,A1
331,53,34021,33986,33955,33929,33900,33860,33808,33753,33710,33681,33660,33631,33587,33532,33477,33432,33400,33379,33361,33340,33318,33303,33298,33299,33300,2677,2022-03-06-23-56-49.789417,A1
332,53,33299,33319,33391,33546,33785,34089,34412,34700,34905,35010,35022,34952,34816,34632,34424,34213,34016,33839,33678,33528,33384,33252,33145,33083,33075,2678,2022-03-06-23-56-50.105076,A1
333,53,33114,33181,33251,33309,33345,33352,33324,33264,33175,33070,32960,32866,32802,32765,32739,32708,32659,32586,32492,32380,32257,32136,32029,31945,31889,2679,2022-03-06-23-56-50.465108,A1
334,53,31863,31858,31856,31842,31806,31745,31660,31559,31464,31408,31434,31579,31852,32229,32652,33043,33335,33488,33505,33414,33251,33052,32846,32657,32504,2680,2022-03-06-23-56-50.826014,A1
335,53,32405,32363,32358,32352,32305,32197,32042,31878,31752,31686,31677,31704,31748,31799,31862,31936,32011,32068,32084,32063,32019,31974,31943,31934,31955,2681,2022-03-06-23-56-51.186210,A1
336,53,32016,32126,32281,32463,32626,32715,32685,32520,32242,31905,31580,31328,31184,31145,31174,31234,31295,31354,31432,31567,31788,32097,32472,32866,33223,2682,2022-03-06-23-56-51.501685,A1
337,53,33498,33673,33752,33751,33690,33583,33436,33260,33070,32884,32721,32584,32467,32358,32255,32167,32114,32120,32198,32332,32476,32576,32601,32550,32454,2683,2022-03-06-23-56-51.817373,A1
338,53,32356,32295,32284,32320,32385,32459,32520,32542,32504,32400,32248,32082,31944,31858,31826,31839,31882,31951,32053,32186,32331,32453,32513,32494,32406,2684,2022-03-06-23-56-52.132701,A1
339,53,32286,32176,32115,32128,32225,32420,32725,33140,33631,34144,34610,34971,35198,35298,35301,35242,35150,35040,34920,34800,34690,34589,34489,34379,34245,2685,2022-03-06-23-56-52.448175,A1
340,53,34083,33903,33729,33582,33483,33442,33457,33516,33605,33700,33779,33818,33804,33735,33623,33484,33340,33209,33107,33040,33007,32996,32994,32981,32939,2686,2022-03-06-23-56-52.809538,A1
341,53,32861,32756,32645,32550,32481,32442,32425,32422,32429,32447,32474,32501,32508,32474,32396,32291,32194,32150,32204,32375,32659,33018,33403,33759,34033,2687,2022-03-06-23-56-53.124170,A1
342,53,34182,34192,34075,33853,33559,33245,32966,32759,32626,32545,32505,32496,32507,32530,32573,32636,32698,32744,32781,32824,32877,32947,33041,33167,33326,2688,2022-03-06-23-56-53.530651,A1
343,53,33514,33706,33870,33973,33996,33937,33812,33646,33467,33284,33096,32894,32670,32425,32164,31889,31600,31300,31001,30718,30475,30294,30189,30163,30206,2689,2022-03-06-23-56-53.800901,A1
344,53,30309,30475,30716,31038,31433,31876,32327,32741,33069,33280,33373,33370,33294,33166,33010,32840,32662,32475,32276,32064,31847,31642,31465,31337,31273,2690,2022-03-06-23-56-54.160757,A1
345,53,31271,31320,31410,31532,31674,31814,31928,31999,32028,32033,32033,32042,32063,32092,32121,32146,32169,32199,32242,32288,32324,32343,32341,32325,32303,2691,2022-03-06-23-56-54.521414,A1
346,53,32292,32307,32351,32417,32496,32580,32664,32741,32802,32840,32852,32842,32817,32802,32830,32944,33175,33531,33987,34491,34964,35337,35582,35714,35769,2692,2022-03-06-23-56-54.837995,A1
347,53,35787,35794,35798,35794,35777,35737,35668,35565,35431,35269,35091,34912,34739,34569,34397,34212,34011,33797,33583,33385,33224,33114,33057,33043,33058,2693,2022-03-06-23-56-55.152689,A1
348,53,33097,33159,33247,33367,33521,33697,33875,34030,34140,34193,34182,34106,33973,33792,33572,33328,33072,32816,32570,32347,32151,31992,31875,31795,31746,2694,2022-03-06-23-56-55.513221,A1
349,53,31734,31772,31880,32075,32352,32679,33002,33260,33412,33448,33382,33242,33058,32855,32651,32459,32282,32124,31984,31855,31738,31639,31571,31543,31557,2695,2022-03-06-23-56-55.829101,A1
350,53,31601,31659,31705,31722,31702,31648,31568,31475,31378,31281,31188,31102,31023,30953,30893,30841,30794,30755,30729,30724,30743,30785,30844,30908,30970,2696,2022-03-06-23-56-56.145111,A1
351,53,31028,31081,31131,31179,31223,31261,31287,31304,31323,31367,31471,31666,31965,32348,32773,33181,33513,33734,33836,33831,33742,33599,33433,33269,33125,2697,2022-03-06-23-56-56.459316,A1
